862,이엠넷,"4,200",105,+2.56%,500,"45,565",936,16.14,37.85,26.18,
863,러셀,"2,940",20,-0.68%,100,"485,780",935,31.24,-13.20,1.07,
864,피에스텍,"4,750",70,-1.45%,500,"100,133",934,-17.81,-35.81,6.22,
865,휘닉스소재,"1,180",60,-4.84%,500,"5,711,631",934,19.14,96.84,0.43,
866,디에이피,"4,105",65,+1.61%,500,"142,050",934,-11.06,-93.06,0.99,
867,모베이스,"3,890",45,-1.14%,500,"275,656",932,73.86,38.60,0.66,
868,메가엠디,"3,980",25,+0.63%,500,"308,168",932,6.70,-144.67,0.86,
869,뉴인텍,"3,100",40,-1.27%,500,"1,451,744",931,8.67,109.14,1.06,
870,정다운,"2,850",60,+2.15%,100,"677,027",927,19.28,-74.74,1.89,
871,이노인스트루먼트,"2,300",40,-1.71%,500,"1,160,117",927,-12.85,-256.92,14.60,
872,보성파워텍,"2,010",45,+2.29%,500,"728,431",926,5.62,19.85,1.22,
873,삼양옵틱스,"9,170",70,-0.76%,500,"53,762",926,5.18,11.21,0.88,
874,바른손,"3,140",20,+0.64%,"1,000","174,961",925,-12.13,27.73,0.00,
875,위니아딤채,"2,570",10,+0.39%,500,"100,096",924,34.65,"1,791.76",0.67,
876,투비소프트,"2,895",30,+1.05%,500,"493,961",921,-0.82,-14.28,1.29,
877,한일진공,"1,175",30,-2.49%,100,"702,125",920,-48.65,"-2,869.05",1.00,
878,수산아이앤티,"13,600",50,+0.37%,500,"262,686",918,-1.65,5.27,0.26,
879,에이트원,"5,710",10,+0.18%,100,"272,398",918,70.19,17.43,1.59,
880,하이즈항공,"5,170",20,+0.39%,500,"104,604",915,42.53,213.70,1.98,
881,이씨에스,"7,440",80,+1.09%,500,"952,374",915,11.03,147.77,1.93,
882,큐캐피탈,544,0,0.00%,500,"703,793",913,144.10,109.40,2.12,
883,광림,"1,725",45,+2.68%,500,"368,474",913,6.79,-951.53,1.02,
884,에스폴리텍,"5,570",50,-0.89%,500,"201,118",910,-1.36,288.91,0.56,
885,지니틱스,"2,555",10,+0.39%,100,"511,254",909,17.99,28.45,1.15,
886,마니커에프앤지,"8,440",180,+2.18%,500,"185,472",909,0.42,-29.65,0.44,
