	종목명	현재가	전일비	등락률	액면가	거래량	시가총액	매출액증가율	영업이익증가율	외국인 비중
1181	해성옵틱스	"1,730"	35	-1.98%	500	"345,888"	554	71.11	113.63	0.79
964	대창솔루션	499	6	-1.19%	100	"3,324,747"	817	26.18	112.2	1.06
955	램테크놀러지	"7,170"	320	4.67%	500	"1,302,599"	832	33.09	111.29	0.82
926	아이오케이	"1,555"	35	2.30%	500	"1,627,528"	864	63.89	110.06	0.54
885	큐캐피탈	544	0	0.00%	500	"866,728"	913	144.1	109.4	2.08
886	뉴인텍	"3,040"	60	-1.94%	500	"1,013,542"	913	8.67	109.14	1.23
1170	아세아텍	"3,205"	30	0.94%	500	"273,272"	561	9.91	108.74	3.43
906	제룡전기	"5,510"	30	-0.54%	500	"300,941"	885	6.4	107.05	1.33
982	지엔원에너지	"2,550"	30	1.19%	100	"465,771"	794	21.61	106.7	0.09
1325	자안	265	1	-0.38%	100	"9,859,124"	374	24.79	105.27	1.84
847	삼화네트웍스	"2,235"	5	0.22%	200	"1,274,078"	965	331.55	104.62	1.02
1279	코디	"1,770"	35	-1.94%	500	"183,485"	433	143.31	101.11	1.56
872	휘닉스소재	"1,175"	5	-0.42%	500	"9,400,978"	930	19.14	96.84	0.54
1135	KBI메탈	"1,855"	20	-1.07%	500	"526,622"	611	6.69	95.2	2.96
1409	한국정밀기계	"1,615"	15	0.94%	500	"14,161"	136	5.58	90.34	0.09
1130	S&K폴리텍	"5,260"	90	-1.68%	500	"62,464"	616	19.86	90.14	2.48
869	파워넷	"5,830"	190	-3.16%	"1,000"	"905,936"	932	10	85.91	0.34
1227	알로이스	"2,895"	345	13.53%	100	"7,379,374"	502	38.34	83.78	3.9
1146	세진티에스	"7,080"	110	1.58%	500	"700,756"	594	1.49	82.44	1.67
993	에이루트	"6,180"	630	11.35%	500	"690,849"	782	40.82	80.99	0.52
1051	엠브레인	"7,940"	130	1.66%	500	"42,051"	712	5.23	79.33	0.48
1045	얼라인드	"10,000"	0	0.00%	500	"45,735"	719	37.33	79.27	2.57
1254	에코마이스터	"1,720"	35	2.08%	500	"1,502,089"	459	27.68	78.56	0.57
1003	삼보산업	"2,020"	5	0.25%	100	"1,174,096"	769	12.45	77.89	1.51
1317	유앤아이	"4,725"	25	0.53%	500	"46,269"	385	9.87	76.31	1.79
1365	코이즈	"1,850"	425	29.82%	500	"4,545,861"	285	85.22	74.86	3.43
1185	셀바스헬스케어	"2,540"	15	0.59%	500	"331,267"	551	11.61	74.4	1.3
1384	에스앤더블류	"3,235"	70	2.21%	500	"72,398"	233	19.12	73.48	0.45
1380	대동금속	"9,330"	170	-1.79%	"1,000"	"17,190"	243	9.48	71.2	0.08
817	지엔코	"1,045"	5	-0.48%	500	"414,315"	"1,024"	6.49	69.96	4.24
956	위세아이텍	"18,650"	50	-0.27%	500	"45,479"	831	19.16	69.84	5.88
989	우진비앤지	"2,860"	60	-2.05%	500	"385,199"	789	9.79	67.63	1.6
831	에이치시티	"14,300"	300	-2.05%	500	"99,559"	991	30.17	66.29	5.86
1191	아이디피	"8,170"	40	-0.49%	500	"46,875"	542	32.8	65.46	0.2
